epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.679,1.3329,2.83096,1.60391,0.40865,0.59396,0.44818,0.26938,1.20768,2.23221,1.83448,0.000473865,0.000473865,0.000473865
2,61.3863,1.41888,2.27889,1.64826,0.48085,0.62543,0.57477,0.32033,1.31209,2.04575,1.97645,0.000945495,0.000945495,0.000945495
3,99.6996,1.4614,2.0069,1.68022,0.46888,0.57085,0.48058,0.26454,1.43275,1.92673,2.04812,0.00141241,0.00141241,0.00141241
4,146.858,1.4574,1.86695,1.65571,0.58615,0.70262,0.67015,0.37791,1.37907,1.53985,1.99732,0.00140778,0.00140778,0.00140778
5,202.327,1.4182,1.73118,1.63774,0.52042,0.70832,0.73409,0.4405,1.3368,1.60811,1.9221,0.00140071,0.00140071,0.00140071
6,252.865,1.38572,1.6557,1.60092,0.66217,0.69035,0.68067,0.42869,1.28283,1.57781,1.82471,0.00139363,0.00139363,0.00139363
7,307.858,1.34685,1.52999,1.5578,0.71533,0.77794,0.80763,0.47734,1.30082,1.15576,1.86539,0.00138656,0.00138656,0.00138656
8,353.401,1.30443,1.46292,1.52965,0.48867,0.60198,0.51044,0.30857,1.29727,1.84461,1.84621,0.00137949,0.00137949,0.00137949
9,408.404,1.27115,1.40243,1.52617,0.74008,0.83698,0.83894,0.55728,1.12538,1.02501,1.68799,0.00137241,0.00137241,0.00137241
10,458.925,1.26553,1.37776,1.51331,0.80016,0.73418,0.81119,0.52934,1.19166,1.10759,1.73874,0.00136534,0.00136534,0.00136534
11,505.078,1.24332,1.37082,1.48964,0.76933,0.78262,0.86307,0.58534,1.10152,1.08076,1.67988,0.00135826,0.00135826,0.00135826
12,552.462,1.2486,1.34512,1.49316,0.81823,0.78993,0.86688,0.56207,1.15731,0.96586,1.7037,0.00135119,0.00135119,0.00135119
13,599.559,1.21592,1.28478,1.46347,0.80253,0.84407,0.83956,0.57125,1.08214,0.9974,1.6377,0.00134412,0.00134412,0.00134412
14,647.997,1.1841,1.25907,1.44852,0.83753,0.88629,0.91103,0.625,1.02644,0.82114,1.596,0.00133704,0.00133704,0.00133704
15,693.72,1.17273,1.22928,1.44068,0.71031,0.82693,0.82426,0.57298,1.0092,1.02413,1.56496,0.00132997,0.00132997,0.00132997
16,738.933,1.16915,1.21674,1.42777,0.84933,0.86018,0.90646,0.61779,1.06443,0.81189,1.6351,0.0013229,0.0013229,0.0013229
17,785.278,1.14036,1.18023,1.41446,0.82639,0.8841,0.90396,0.64481,0.9553,0.76619,1.49773,0.00131582,0.00131582,0.00131582
18,832.07,1.133,1.15525,1.40849,0.77614,0.8331,0.86335,0.59533,1.0033,0.92307,1.53655,0.00130875,0.00130875,0.00130875
19,878.424,1.13918,1.15771,1.40918,0.79072,0.86578,0.9086,0.61437,1.05569,0.82826,1.60516,0.00130168,0.00130168,0.00130168
20,923.663,1.12352,1.14545,1.40925,0.78555,0.83518,0.85321,0.5909,1.02013,0.9863,1.5417,0.0012946,0.0012946,0.0012946
21,969.328,1.11734,1.12881,1.4027,0.84962,0.88542,0.91942,0.66505,0.95649,0.75525,1.52611,0.00128753,0.00128753,0.00128753
22,1014.97,1.11096,1.12217,1.39847,0.77921,0.8447,0.9017,0.68149,0.89629,0.83434,1.47272,0.00128046,0.00128046,0.00128046
23,1061.1,1.10278,1.09416,1.39231,0.83502,0.91431,0.94404,0.68094,0.94359,0.72201,1.49267,0.00127338,0.00127338,0.00127338
24,1107.04,1.10423,1.12275,1.38431,0.86768,0.83508,0.89992,0.65036,0.95485,0.80326,1.51714,0.00126631,0.00126631,0.00126631
25,1153.14,1.09739,1.08239,1.38086,0.84396,0.90852,0.92946,0.65791,0.96984,0.73267,1.53377,0.00125923,0.00125923,0.00125923
26,1198.81,1.06855,1.05123,1.37464,0.84624,0.89736,0.93003,0.67238,0.95627,0.72335,1.50261,0.00125216,0.00125216,0.00125216
27,1244.9,1.06596,1.07373,1.36921,0.82966,0.8686,0.90792,0.66111,0.95126,0.75302,1.50757,0.00124509,0.00124509,0.00124509
28,1290.46,1.06608,1.05717,1.36625,0.8378,0.85798,0.89515,0.65285,0.90115,0.76951,1.44597,0.00123801,0.00123801,0.00123801
29,1336.1,1.05849,1.05099,1.36508,0.78714,0.85334,0.87381,0.64117,0.91245,0.83732,1.46672,0.00123094,0.00123094,0.00123094
30,1382.36,1.04893,1.02491,1.35215,0.85048,0.89544,0.91321,0.67064,0.87658,0.6911,1.43915,0.00122387,0.00122387,0.00122387
31,1427.9,1.0559,1.0203,1.3568,0.8097,0.89247,0.91484,0.68288,0.89033,0.73484,1.46387,0.00121679,0.00121679,0.00121679
32,1472.58,1.04283,1.02809,1.34876,0.882,0.91334,0.92643,0.69249,0.86031,0.67947,1.43713,0.00120972,0.00120972,0.00120972
